feature_strategy,sampling_strategy,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
domain,balanced,0.776142049975169,0.006428127241576455,0.26552462147596834,0.0070583583783736924
baseline,balanced,0.7753695781241036,0.00739850133863007,0.26422182610076517,0.0080428465340583
domain,undersample,0.7716854789060018,0.006765758904541386,0.25588092110750793,0.007417053691073501
baseline,undersample,0.7714785589100899,0.007643478560845031,0.25719957610170624,0.008337679062322346
