,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,false_negative_rate
LightGBM,0.7253994406746591,0.18278883331559717,0.6918635875402793,0.28917758635203006,0.7783469480086893,0.2708710668804029,61768.0,23038.0,2295.0,5153.0,0.2716553074074948,0.30813641245972073
XGBoost,0.7387213562555554,0.18675242608891898,0.6666219119226638,0.2917670564729388,0.7755251636685516,0.26590881350125356,63185.0,21621.0,2483.0,4965.0,0.2549465839681155,0.3333780880773362
Logistic_Regression,0.7027771153554317,0.17090693382546795,0.6962943071965628,0.2744496189669771,0.7689689002837663,0.25275730806212954,59648.0,25158.0,2262.0,5186.0,0.2966535386647171,0.3037056928034372
Random_Forest,0.75370173651007,0.18491624721511676,0.6017722878625135,0.2829009657261882,0.756216624241749,0.23506911792585974,65050.0,19756.0,2966.0,4482.0,0.23295521543287032,0.3982277121374866
Dummy_Classifier,0.9192663732737876,0.0,0.0,0.0,0.5,0.08073362672621241,84806.0,0.0,7448.0,0.0,0.0,1.0
