feature,importance,cumulative_importance
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,8,0.954
FLAG_WORK_PHONE,8,0.9566666666666667
PREV_DAYS_FIRST_DRAWING_MIN,7,0.959
NAME_INCOME_TYPE_State_servant,7,0.9613333333333334
NAME_EDUCATION_TYPE_Secondary_secondary_special,7,0.9636666666666667
PREV_DAYS_TERMINATION_MIN,6,0.9656666666666667
ELEVATORS_AVG,6,0.9676666666666667
AMT_REQ_CREDIT_BUREAU_YEAR,5,0.9693333333333334
OBS_30_CNT_SOCIAL_CIRCLE,5,0.971
POS_CNT_INSTALMENT_MIN,5,0.9726666666666667
WALLSMATERIAL_MODE_Panel,5,0.9743333333333334
PREV_DAYS_LAST_DUE_MIN,5,0.976
PREV_DAYS_LAST_DUE_MAX,4,0.9773333333333334
PREV_SK_ID_PREV_COUNT,4,0.9786666666666667
POS_SK_DPD_MAX,4,0.98
HOUR_APPR_PROCESS_START,4,0.9813333333333333
PREV_DAYS_TERMINATION_MAX,4,0.9826666666666667
WEEKDAY_APPR_PROCESS_START_SATURDAY,4,0.984
BUREAU_AMT_ANNUITY_SUM,3,0.985
PREV_CNT_PAYMENT_MIN,3,0.986
PREV_NFLAG_INSURED_ON_APPROVAL_SUM,3,0.987
INST_IS_LATE_SUM,3,0.988
INST_PAYMENT_DIFF_MAX,3,0.989
NAME_CONTRACT_TYPE_Revolving_loans,3,0.99
PREV_AMT_DOWN_PAYMENT_MIN,3,0.991
AMT_REQ_CREDIT_BUREAU_MON,2,0.9916666666666667
WALLSMATERIAL_MODE_Stone_brick,2,0.9923333333333333
POS_SK_DPD_MEAN,2,0.993
NAME_FAMILY_STATUS_Single_not_married,2,0.9936666666666667
PREV_STATUS_APPROVED_COUNT,2,0.9943333333333333
POS_SK_DPD_MIN,2,0.995
NAME_FAMILY_STATUS_Separated,2,0.9956666666666667
FLAG_EMP_PHONE,2,0.9963333333333333
BUREAU_CNT_CREDIT_PROLONG_SUM,1,0.9966666666666667
