         29486 function calls (28396 primitive calls) in 0.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.003    0.000    0.008    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\_internal.py:32(wrapped_f)
       20    0.000    0.000    0.007    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:650(_choose_param_value)
        5    0.000    0.000    0.006    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_extra\_lib\_funcs.py:888(setdiff1d)
      490    0.003    0.000    0.006    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2763(__init__)
       10    0.000    0.000    0.005    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\joblib\externals\loky\backend\context.py:143(_cpu_count_cgroup)
       15    0.001    0.000    0.005    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:725(check_array)
       20    0.005    0.000    0.005    0.000 {built-in method nt._path_exists}
        5    0.000    0.000    0.005    0.001 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:1361(column_or_1d)
       10    0.000    0.000    0.005    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\common\_aliases.py:253(unique_values)
     5495    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
       10    0.001    0.000    0.004    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:1027(from_booster)
       10    0.000    0.000    0.003    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\common\_aliases.py:199(_unique_kwargs)
       10    0.000    0.000    0.003    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:992(__init__)
       35    0.003    0.000    0.003    0.000 {built-in method numpy.array}
       10    0.000    0.000    0.003    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\joblib\externals\loky\backend\context.py:179(_cpu_count_affinity)
       10    0.002    0.000    0.003    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:543(_param_dict_to_str)
     3185    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
